values,fault
0.02245908316859305,False
0.055548613210564056,False
0.03653828156752682,False
0.04618968006570678,False
0.03647243820899475,False
0.06888946091116122,False
0.0,False
0.035195649143618675,False
0.777928614603585,False
0.06891892952813602,False
0.050336612279278624,False
0.08956896793092374,False
0.06729917972187964,False
0.003644984624636684,False
0.0541344796976557,False
0.005430763399661315,False
0.04995287066191048,False
0.7371639618654118,False
0.5170826423013195,False
0.06517162198777804,False
0.5009070090313515,False
0.011896290314358545,False
0.05280391934582637,False
0.05762346033198433,False
0.7712736069554654,False
0.05159944032926952,False
0.0,False
0.5697284903401447,False
0.044714944213836254,False
0.02606254806144828,False
0.4655144086405777,False
0.19449219338173263,False
